fuente,feria,categoria,peso_rango,fecha,precio_kg_clp,precio_cabeza_clp,moneda,url_fuente,created_at
odepa,los_angeles,novillo_gordo,450-550,2026-04-20,2714.00,1357000.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.891698-04
odepa,los_angeles,ternero,150-250,2026-04-20,2949.00,589800.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.893799-04
odepa,los_angeles,toro,600-800,2026-04-20,2160.00,1512000.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.894454-04
odepa,los_angeles,vaca_gorda,450-600,2026-04-20,2285.00,1199625.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.892523-04
odepa,los_angeles,vaquilla,350-450,2026-04-20,2487.00,994800.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.893155-04
odepa,osorno,novillo_gordo,450-550,2026-04-20,2659.00,1329500.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.891461-04
odepa,osorno,ternero,150-250,2026-04-20,2840.00,568000.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.893523-04
odepa,osorno,toro,600-800,2026-04-20,2067.00,1446900.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.894194-04
odepa,osorno,vaca_gorda,450-600,2026-04-20,2132.00,1119300.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.892254-04
odepa,osorno,vaquilla,350-450,2026-04-20,2401.00,960400.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.892913-04
odepa,puerto_montt,novillo_gordo,450-550,2026-04-20,2583.00,1291500.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.891993-04
odepa,puerto_montt,ternero,150-250,2026-04-20,2966.00,593200.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.893929-04
odepa,puerto_montt,toro,600-800,2026-04-20,2112.00,1478400.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.894581-04
odepa,puerto_montt,vaca_gorda,450-600,2026-04-20,2193.00,1151325.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.892659-04
odepa,puerto_montt,vaquilla,350-450,2026-04-20,2353.00,941200.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.893283-04
odepa,talca,novillo_gordo,450-550,2026-04-20,2787.00,1393500.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.892115-04
odepa,talca,ternero,150-250,2026-04-20,3065.00,613000.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.894064-04
odepa,talca,toro,600-800,2026-04-20,2234.00,1563800.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.894716-04
odepa,talca,vaca_gorda,450-600,2026-04-20,2266.00,1189650.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.892789-04
odepa,talca,vaquilla,350-450,2026-04-20,2597.00,1038800.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.893401-04
odepa,temuco,novillo_gordo,450-550,2026-04-20,2649.00,1324500.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.89158-04
odepa,temuco,ternero,150-250,2026-04-20,2971.00,594200.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.893667-04
odepa,temuco,toro,600-800,2026-04-20,2063.00,1444100.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.894325-04
odepa,temuco,vaca_gorda,450-600,2026-04-20,2236.00,1173900.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.892392-04
odepa,temuco,vaquilla,350-450,2026-04-20,2520.00,1008000.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.893037-04
odepa,los_angeles,novillo_gordo,450-550,2026-04-13,2711.00,1355500.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.888297-04
odepa,los_angeles,ternero,150-250,2026-04-13,2959.00,591800.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.890515-04
odepa,los_angeles,toro,600-800,2026-04-13,2104.00,1472800.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.891102-04
odepa,los_angeles,vaca_gorda,450-600,2026-04-13,2305.00,1210125.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.888914-04
odepa,los_angeles,vaquilla,350-450,2026-04-13,2548.00,1019200.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.889897-04
odepa,osorno,novillo_gordo,450-550,2026-04-13,2708.00,1354000.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.888061-04
odepa,osorno,ternero,150-250,2026-04-13,2984.00,596800.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.890265-04
odepa,osorno,toro,600-800,2026-04-13,2062.00,1443400.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.890863-04
odepa,osorno,vaca_gorda,450-600,2026-04-13,2196.00,1152900.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.888661-04
odepa,osorno,vaquilla,350-450,2026-04-13,2344.00,937600.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.889657-04
odepa,puerto_montt,novillo_gordo,450-550,2026-04-13,2596.00,1298000.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.888417-04
odepa,puerto_montt,ternero,150-250,2026-04-13,2972.00,594400.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.890631-04
odepa,puerto_montt,toro,600-800,2026-04-13,2053.00,1437100.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.89122-04
odepa,puerto_montt,vaca_gorda,450-600,2026-04-13,2195.00,1152375.00,CLP,https://www.odepa.gob.cl/precios/series-de-precios,2026-04-20 23:39:49.889394-04
