Diio,Fundo,Tipo ganado,Fecha nacimiento,Estado reproductivo,Estado leche,Motivo,Detalle,Fecha baja,Creado por,Fecha creado
26186191,Recría Feedlot ,Ternero,"""2025-08-08T00:00:00.000Z""",,,Muerte,Neumonia,"""2026-04-15T00:00:00.000Z""",Hernan Silva,"""2026-04-17T00:00:00.000Z"""
24945235,Medieria FT,Novillo,"""2024-03-04T00:00:00.000Z""",,,Muerte,neumonía cronica,"""2026-04-13T00:00:00.000Z""",Hernan Silva,"""2026-04-15T00:00:00.000Z"""
25275194,Medieria FT,Novillo,"""2024-03-20T00:00:00.000Z""",,,Muerte,neumonía cronica,"""2026-04-14T00:00:00.000Z""",Hernan Silva,"""2026-04-15T00:00:00.000Z"""
23304473,Medieria FT,Novillo,"""2024-01-28T00:00:00.000Z""",,,Muerte,Abomasitis,"""2026-04-04T00:00:00.000Z""",Hernan Silva,"""2026-04-07T00:00:00.000Z"""
25275187,Medieria FT,Novillo,"""2024-03-20T00:00:00.000Z""",,,Muerte,Úlcera de abomaso,"""2026-04-06T00:00:00.000Z""",Hernan Silva,"""2026-04-07T00:00:00.000Z"""
22546691,Medieria FT,Novillo,"""2024-03-04T00:00:00.000Z""",,,Muerte,Flaco (neumonia crónica),"""2026-04-02T00:00:00.000Z""",Hernan Silva,"""2026-04-03T00:00:00.000Z"""
27832847,Medieria FT,Novillo,"""2024-03-12T00:00:00.000Z""",,,Muerte,flaco,"""2026-03-27T00:00:00.000Z""",Hernan Silva,"""2026-03-31T00:00:00.000Z"""
26438466,feedlot,Vaquilla,"""2024-10-04T00:00:00.000Z""",Preencaste,,Muerte,Ptbc,"""2026-03-28T00:00:00.000Z""",Hernan Silva,"""2026-03-31T00:00:00.000Z"""
25045015,Medieria FT,Novillo,"""2024-01-14T00:00:00.000Z""",,,Muerte,Pansaso,"""2026-03-12T00:00:00.000Z""",Hernan Silva,"""2026-03-31T00:00:00.000Z"""
22811262,feedlot,Vaca,"""2023-07-17T00:00:00.000Z""",Parida,En Leche,Muerte,Ptbc,"""2026-03-25T00:00:00.000Z""",Hernan Silva,"""2026-03-27T00:00:00.000Z"""
27281714,Mollendo ,Novillo,"""2024-03-13T00:00:00.000Z""",,,Muerte,Impactación Ruminal,"""2026-03-26T00:00:00.000Z""",Hernan Silva,"""2026-03-27T00:00:00.000Z"""
23599343,Recría FT,Novillo,"""2025-12-22T00:00:00.000Z""",,,Muerte,flaco,"""2026-03-22T00:00:00.000Z""",Hernan Silva,"""2026-03-27T00:00:00.000Z"""
26250894,San Pedro,Ternero,"""2025-10-27T00:00:00.000Z""",,,Accidente,Enterrada monte,"""2026-03-23T00:00:00.000Z""",Diego,"""2026-03-26T00:00:00.000Z"""
25938256,San Pedro,Ternera,"""2025-08-17T00:00:00.000Z""",,,fractura de mano/pies,no responde tratamiento,"""2026-03-21T00:00:00.000Z""",Diego,"""2026-03-26T00:00:00.000Z"""
26205400,San Pedro,Ternera,"""2025-08-25T00:00:00.000Z""",,,perros,perros,"""2026-03-23T00:00:00.000Z""",Diego,"""2026-03-26T00:00:00.000Z"""
26207536,San Pedro,Ternero,"""2025-09-26T00:00:00.000Z""",,,perros,perros,"""2026-02-20T00:00:00.000Z""",Diego,"""2026-02-27T00:00:00.000Z"""
22620344,San Pedro,Vaca,"""2016-08-21T00:00:00.000Z""",Parida,En Leche,Muerte,Baja condición corporal,"""2026-02-24T00:00:00.000Z""",Diego,"""2026-02-27T00:00:00.000Z"""
25938122,San Pedro,Ternero,"""2025-08-13T00:00:00.000Z""",,,fractura de mano/pies,no responde tratamiento,"""2026-02-09T00:00:00.000Z""",Diego,"""2026-02-27T00:00:00.000Z"""
22938186,San Pedro,Ternera,"""2025-08-15T00:00:00.000Z""",,,Muerte,Perros,"""2026-02-14T00:00:00.000Z""",Diego,"""2026-02-27T00:00:00.000Z"""
26205322,San Pedro,Ternero,"""2025-09-04T00:00:00.000Z""",,,clostridium,muerte súbita,"""2026-02-10T00:00:00.000Z""",Diego,"""2026-02-27T00:00:00.000Z"""
