Diio,Fecha nacimiento,Tipo ganado,Raza,Fundo,Estado reproductivo,Estado leche,Observaciones,Partos,Diio Madre,Padre,Abuelo,Origen,Fecha creado
4220788,"""2010-10-15T00:00:00.000Z""",Vaca,Angus,San Pedro,Preñada,En Leche,,13,,,,,"""2018-06-04T00:00:00.000Z"""
4220869,"""2010-09-15T00:00:00.000Z""",Vaca,Angus,San Pedro,Preñada,En Leche,,13,,,,,"""2018-06-04T00:00:00.000Z"""
4221444,"""2010-11-10T00:00:00.000Z""",Vaca,Angus,San Pedro,Parida,En Leche,,13,,,,,"""2018-06-04T00:00:00.000Z"""
4236497,"""2011-08-15T00:00:00.000Z""",Vaca,Angus,San Pedro,Preñada,En Leche,,12,,,,,"""2018-06-04T00:00:00.000Z"""
4236609,"""2011-08-15T00:00:00.000Z""",Vaca,Angus,San Pedro,Vacía,En Leche,,12,,,,,"""2018-06-04T00:00:00.000Z"""
4236659,"""2011-09-15T00:00:00.000Z""",Vaca,Angus,San Pedro,Preñada,En Leche,,12,,,,,"""2018-06-04T00:00:00.000Z"""
4236735,"""2011-09-15T00:00:00.000Z""",Vaca,Angus,San Pedro,Preñada,En Leche,,12,,,,,"""2018-06-04T00:00:00.000Z"""
4236870,"""2011-09-15T00:00:00.000Z""",Vaca,Angus,San Pedro,Preñada,En Leche,,11,,,,,"""2018-06-04T00:00:00.000Z"""
4236887,"""2011-09-15T00:00:00.000Z""",Vaca,Angus,San Pedro,Preñada,En Leche,,12,,,,,"""2018-06-04T00:00:00.000Z"""
4236899,"""2011-09-15T00:00:00.000Z""",Vaca,Angus,San Pedro,Preñada,En Leche,,12,,,,,"""2018-06-04T00:00:00.000Z"""
4236933,"""2011-10-15T00:00:00.000Z""",Vaca,Angus,San Pedro,Preñada,En Leche,,11,,,,,"""2018-06-04T00:00:00.000Z"""
4236936,"""2011-10-15T00:00:00.000Z""",Vaca,Angus,San Pedro,Preñada,En Leche,,12,,,,,"""2018-06-04T00:00:00.000Z"""
4237012,"""2011-10-15T00:00:00.000Z""",Vaca,Angus,San Pedro,Preñada,En Leche,,12,,,,,"""2018-06-04T00:00:00.000Z"""
4237021,"""2011-10-15T00:00:00.000Z""",Vaca,Angus,San Pedro,Preñada,En Leche,,12,,,,,"""2018-06-04T00:00:00.000Z"""
4237031,"""2011-10-15T00:00:00.000Z""",Vaca,Angus,San Pedro,Preñada,En Leche,,12,,,,,"""2018-06-04T00:00:00.000Z"""
4237047,"""2011-10-15T00:00:00.000Z""",Vaca,Angus,San Pedro,Vacía,En Leche,,12,,,,,"""2018-06-04T00:00:00.000Z"""
4237052,"""2011-10-15T00:00:00.000Z""",Vaca,Angus,San Pedro,Preñada,En Leche,,12,,,,,"""2018-06-04T00:00:00.000Z"""
4237103,"""2011-10-15T00:00:00.000Z""",Vaca,Angus,San Pedro,Vacía,En Leche,,12,,,,,"""2018-06-04T00:00:00.000Z"""
4237157,"""2011-11-15T00:00:00.000Z""",Vaca,Angus,San Pedro,Preñada,En Leche,,12,,,,,"""2018-06-04T00:00:00.000Z"""
4237210,"""2011-11-15T00:00:00.000Z""",Vaca,Angus,San Pedro,Preñada,En Leche,,12,,,,,"""2018-06-04T00:00:00.000Z"""
4237257,"""2011-11-15T00:00:00.000Z""",Vaca,Angus,San Pedro,Preñada,En Leche,,11,,,,,"""2018-06-04T00:00:00.000Z"""
4237259,"""2011-11-15T00:00:00.000Z""",Vaca,Angus,San Pedro,Preñada,En Leche,,12,,,,,"""2018-06-04T00:00:00.000Z"""
4237314,"""2011-11-15T00:00:00.000Z""",Vaca,Angus,San Pedro,Preñada,En Leche,,12,,,,,"""2018-06-04T00:00:00.000Z"""
4237453,"""2012-02-01T00:00:00.000Z""",Vaca,Angus,San Pedro,Vacía,En Leche,,12,,,,,"""2018-06-04T00:00:00.000Z"""
4237497,"""2012-02-11T00:00:00.000Z""",Vaca,Angus,San Pedro,Preñada,En Leche,,12,,,,,"""2018-06-04T00:00:00.000Z"""
4263465,"""2012-09-15T00:00:00.000Z""",Vaca,Angus,San Pedro,Preñada,En Leche,,11,,,,,"""2018-06-04T00:00:00.000Z"""
4263477,"""2012-09-15T00:00:00.000Z""",Vaca,Angus,San Pedro,Preñada,En Leche,,11,,,,,"""2018-06-04T00:00:00.000Z"""
4263490,"""2012-09-15T00:00:00.000Z""",Vaca,Angus,San Pedro,Preñada,En Leche,,11,,,,,"""2018-06-04T00:00:00.000Z"""
4263518,"""2012-09-15T00:00:00.000Z""",Vaca,Angus,San Pedro,Preñada,En Leche,,10,,,,,"""2018-06-04T00:00:00.000Z"""
4263519,"""2012-09-15T00:00:00.000Z""",Vaca,Angus,San Pedro,Preñada,En Leche,,11,,,,,"""2018-06-04T00:00:00.000Z"""
4263622,"""2012-10-15T00:00:00.000Z""",Vaca,Angus,San Pedro,Preñada,En Leche,,11,,,,,"""2018-06-04T00:00:00.000Z"""
4263636,"""2012-10-15T00:00:00.000Z""",Vaca,Angus,San Pedro,Preñada,En Leche,,11,,,,,"""2018-06-04T00:00:00.000Z"""
4263718,"""2012-10-15T00:00:00.000Z""",Vaca,Angus,San Pedro,Preñada,En Leche,,11,,,,,"""2018-06-04T00:00:00.000Z"""
4264017,"""2012-10-15T00:00:00.000Z""",Vaca,Angus,San Pedro,Preñada,En Leche,,11,,,,,"""2018-06-04T00:00:00.000Z"""
4264103,"""2012-11-15T00:00:00.000Z""",Vaca,Angus,San Pedro,Preñada,En Leche,,11,,,,,"""2018-06-04T00:00:00.000Z"""
4264186,"""2012-11-15T00:00:00.000Z""",Vaca,Angus,San Pedro,Vacía,En Leche,,11,,,,,"""2018-06-04T00:00:00.000Z"""
4264216,"""2012-12-15T00:00:00.000Z""",Vaca,Angus,San Pedro,Preñada,En Leche,,11,,,,,"""2018-06-04T00:00:00.000Z"""
4264227,"""2012-12-15T00:00:00.000Z""",Vaca,Angus,San Pedro,Preñada,En Leche,,11,,,,,"""2018-06-04T00:00:00.000Z"""
4264275,"""2012-12-15T00:00:00.000Z""",Vaca,Angus,San Pedro,Preñada,En Leche,,11,,,,,"""2018-06-04T00:00:00.000Z"""
4264440,"""2013-01-15T00:00:00.000Z""",Vaca,Angus,San Pedro,Parida,En Leche,,11,,,,,"""2018-06-04T00:00:00.000Z"""
4264457,"""2013-01-15T00:00:00.000Z""",Vaca,Angus,San Pedro,Preñada,En Leche,,11,,,,,"""2018-06-04T00:00:00.000Z"""
4264545,"""2013-01-15T00:00:00.000Z""",Vaca,Angus,San Pedro,Preñada,En Leche,,11,,,,,"""2018-06-04T00:00:00.000Z"""
4264679,"""2013-02-15T00:00:00.000Z""",Vaca,Angus,San Pedro,Preñada,En Leche,,11,,,,,"""2018-06-04T00:00:00.000Z"""
4264709,"""2013-03-15T00:00:00.000Z""",Vaca,Angus,San Pedro,Preñada,En Leche,,10,,,,,"""2018-06-04T00:00:00.000Z"""
4264764,"""2013-07-15T00:00:00.000Z""",Vaca,Angus,San Pedro,Preñada,En Leche,,10,,,,,"""2018-06-04T00:00:00.000Z"""
4282232,"""2013-07-15T00:00:00.000Z""",Vaca,Angus,San Pedro,Preñada,En Leche,,9,,,,,"""2018-06-04T00:00:00.000Z"""
4282525,"""2013-08-15T00:00:00.000Z""",Vaca,Angus,San Pedro,Preñada,En Leche,,10,,,,,"""2018-06-04T00:00:00.000Z"""
4282573,"""2013-09-15T00:00:00.000Z""",Vaca,Angus,San Pedro,Preñada,En Leche,,10,,,,,"""2018-06-04T00:00:00.000Z"""
4296802,"""2013-09-15T00:00:00.000Z""",Vaca,Angus,San Pedro,Preñada,En Leche,,10,,,,,"""2018-06-04T00:00:00.000Z"""
