ID,Fundo,Encontrados,T.G. Encontrados,Faltantes,T.G. Faltantes,Estado,Creado por,Fecha creado
3916,Recría FT,0,,126,Novillo: 126,En Proceso,Hernan Silva,"""2026-04-15T00:00:00.000Z"""
3915,Recría Feedlot ,0,,1141,"Novillo: 95
Ternera: 486
Ternero: 560",En Proceso,Hernan Silva,"""2026-04-15T00:00:00.000Z"""
3811,Medieria FT,0,,2005,Novillo: 2005,En Proceso,Hernan Silva,"""2026-03-06T00:00:00.000Z"""
3717,Recría Feedlot ,22,Novillo: 22,149,"Novillo: 3
Vaquilla: 146",Completo,Diego,"""2026-01-09T00:00:00.000Z"""
3714,feedlot,457,"Novillo: 289
Vaca: 2
Vaquilla: 166",0,,Completo,guentrepan,"""2026-01-09T00:00:00.000Z"""
3710,San Pedro,2785,"Novillo: 54
Ternera: 582
Ternero: 653
Toro: 10
Vaca: 1462
Vaquilla: 24",21,"Ternera: 6
Ternero: 15",Completo,Diego,"""2026-01-06T00:00:00.000Z"""
3705,Arriendo Santa Isabel ,275,Vaquilla: 275,0,,Completo,Diego,"""2026-01-06T00:00:00.000Z"""
3697,Medieria FT,1066,Novillo: 1066,1054,Novillo: 1054,Completo,guentrepan,"""2026-01-02T00:00:00.000Z"""
3471,Mollendo ,1401,"Novillo: 1122
Vaquilla: 279",0,,Completo,guentrepan,"""2025-07-08T00:00:00.000Z"""
3218,San Pedro,2669,"Novillo: 646
Ternera: 14
Ternero: 10
Toro: 12
Vaca: 1361
Vaquilla: 626",16,"Ternera: 6
Ternero: 7
Vaca: 3",Completo,Diego,"""2025-01-06T00:00:00.000Z"""
2925,San Pedro,1457,"Vaca: 1445
Vaquilla: 12",963,"Novillo: 458
Ternera: 29
Ternero: 31
Toro: 16
Vaca: 17
Vaquilla: 412",Completo,Diego,"""2024-05-20T00:00:00.000Z"""
2744,feedlot,616,"Novillo: 526
Vaquilla: 90",0,,Completo,guentrepan,"""2024-01-04T00:00:00.000Z"""
2737,San Pedro,2944,"Novillo: 510
Ternera: 34
Ternero: 30
Toro: 20
Vaca: 1905
Vaquilla: 445",3,Vaca: 3,Completo,Diego,"""2024-01-02T00:00:00.000Z"""
2527,San Pedro,2931,"Novillo: 505
Ternera: 14
Ternero: 18
Toro: 24
Vaca: 1911
Vaquilla: 459",41,"Novillo: 3
Ternera: 21
Ternero: 13
Vaca: 4",Completo,Diego,"""2023-08-28T00:00:00.000Z"""
2520,Arriendo Santa Isabel ,279,"Novillo: 141
Ternero: 1
Vaquilla: 137",0,,Completo,guentrepan,"""2023-08-25T00:00:00.000Z"""
2519,Arriendo las quebradas ,414,"Novillo: 404
Vaquilla: 10",0,,Completo,guentrepan,"""2023-08-25T00:00:00.000Z"""
2340,San Pedro,2006,"Novillo: 40
Ternera: 13
Ternero: 14
Toro: 24
Vaca: 1705
Vaquilla: 210",733,"Novillo: 208
Ternera: 37
Ternero: 41
Toro: 1
Vaca: 183
Vaquilla: 263",Completo,Diego,"""2023-04-18T00:00:00.000Z"""
2190,San Pedro,2999,"Novillo: 613
Ternera: 119
Ternero: 29
Toro: 27
Vaca: 1906
Vaquilla: 305",36,"Novillo: 2
Ternera: 3
Ternero: 11
Toro: 1
Vaca: 16
Vaquilla: 3",Completo,Diego,"""2023-01-04T00:00:00.000Z"""
1564,Arriendo las quebradas ,290,"Novillo: 31
Ternera: 87
Ternero: 70
Vaca: 28
Vaquilla: 74",0,,Completo,guentrepan,"""2021-12-30T00:00:00.000Z"""
1560,Arriendo Santa Isabel ,315,"Novillo: 181
Ternera: 6
Ternero: 119
Vaquilla: 9",0,,Completo,guentrepan,"""2021-12-30T00:00:00.000Z"""
1556,San Pedro,1332,"Novillo: 187
Ternera: 22
Ternero: 35
Toro: 16
Vaca: 952
Vaquilla: 120",1665,"Novillo: 290
Ternera: 127
Ternero: 151
Toro: 13
Vaca: 1001
Vaquilla: 83",Completo,Diego,"""2021-12-29T00:00:00.000Z"""
1549,feedlot,875,"Novillo: 444
Ternera: 27
Ternero: 176
Vaquilla: 228",0,,Completo,guentrepan,"""2021-12-29T00:00:00.000Z"""
1545,San Pedro,1647,"Novillo: 288
Ternera: 126
Ternero: 151
Toro: 13
Vaca: 988
Vaquilla: 81",1350,"Novillo: 189
Ternera: 23
Ternero: 35
Toro: 16
Vaca: 965
Vaquilla: 122",Completo,Diego,"""2021-12-27T00:00:00.000Z"""
1261,San Pedro,2218,"Novillo: 169
Ternera: 19
Ternero: 111
Toro: 35
Vaca: 1752
Vaquilla: 132",2,"Novillo: 1
Vaquilla: 1",Completo,Diego,"""2021-05-24T00:00:00.000Z"""
1202,San Pedro,2673,"Novillo: 378
Ternera: 57
Ternero: 300
Toro: 36
Vaca: 1755
Vaquilla: 147",27,"Novillo: 3
Ternera: 8
Ternero: 7
Vaca: 8
Vaquilla: 1",Completo,Diego,"""2021-04-19T00:00:00.000Z"""
1044,San Pedro,3212,"Novillo: 467
Ternera: 100
Ternero: 320
Toro: 39
Vaca: 2009
Vaquilla: 277",19,"Novillo: 4
Ternera: 5
Ternero: 5
Vaca: 2
Vaquilla: 3",Completo,guentrepan,"""2021-01-04T00:00:00.000Z"""
777,San Pedro,0,,1881,"Novillo: 6
Ternera: 2
Ternero: 1
Toro: 52
Vaca: 1622
Vaquilla: 198",Completo,guentrepan,"""2020-06-01T00:00:00.000Z"""
