Diio,Fundo,Tipo parto,Subtipo parto,Estado,Sexo,Collar,Fecha parto,Total partos,Creado por,Fecha creado
26437444,San Pedro,Natural,Normal,Vivo,Hembra,,"""2026-02-01T00:00:00.000Z""",1,Diego,"""2026-03-13T00:00:00.000Z"""
26437461,San Pedro,Natural,Normal,Vivo,Macho,,"""2026-01-01T00:00:00.000Z""",1,Diego,"""2026-03-13T00:00:00.000Z"""
22619678,San Pedro,Natural,Normal,Vivo,Macho,,"""2025-10-25T00:00:00.000Z""",2,Diego,"""2025-12-31T00:00:00.000Z"""
18086406,San Pedro,Natural,Normal,Vivo,Macho,,"""2025-10-25T00:00:00.000Z""",5,Diego,"""2025-12-31T00:00:00.000Z"""
21430674,San Pedro,Natural,Normal,Vivo,Macho,,"""2025-10-25T00:00:00.000Z""",3,Diego,"""2025-12-31T00:00:00.000Z"""
4264440,San Pedro,Natural,Normal,Vivo,Macho,,"""2025-11-01T00:00:00.000Z""",11,Diego,"""2025-12-31T00:00:00.000Z"""
21429855,San Pedro,Natural,Normal,Vivo,Hembra,,"""2025-11-01T00:00:00.000Z""",3,Diego,"""2025-12-31T00:00:00.000Z"""
20055827,San Pedro,Natural,Normal,Vivo,Macho,,"""2025-11-01T00:00:00.000Z""",6,Diego,"""2025-12-31T00:00:00.000Z"""
21429935,San Pedro,Natural,Normal,Vivo,Macho,,"""2025-11-01T00:00:00.000Z""",3,Diego,"""2025-12-31T00:00:00.000Z"""
18085780,San Pedro,Natural,Normal,Vivo,Hembra,,"""2025-11-01T00:00:00.000Z""",5,Diego,"""2025-12-31T00:00:00.000Z"""
21430523,San Pedro,Natural,Perdida Preñez,Muerto,,,"""2025-11-01T00:00:00.000Z""",2,Diego,"""2025-11-12T00:00:00.000Z"""
21430694,San Pedro,Natural,Perdida Preñez,Muerto,,,"""2025-11-01T00:00:00.000Z""",12,Diego,"""2025-11-12T00:00:00.000Z"""
21429722,San Pedro,Natural,Perdida Preñez,Muerto,,,"""2025-11-01T00:00:00.000Z""",3,Diego,"""2025-11-12T00:00:00.000Z"""
4298457,San Pedro,Natural,Perdida Preñez,Muerto,,,"""2025-11-01T00:00:00.000Z""",10,Diego,"""2025-11-12T00:00:00.000Z"""
25836385,San Pedro,Natural,Perdida Preñez,Muerto,,,"""2025-11-01T00:00:00.000Z""",4,Diego,"""2025-11-12T00:00:00.000Z"""
18954194,San Pedro,Natural,Perdida Preñez,Muerto,,,"""2025-11-01T00:00:00.000Z""",4,Diego,"""2025-11-12T00:00:00.000Z"""
25836162,San Pedro,Natural,Perdida Preñez,Muerto,,,"""2025-11-01T00:00:00.000Z""",12,Diego,"""2025-11-12T00:00:00.000Z"""
