Diio,Fundo,Tipo ganado,Estado reproductivo,Edad (meses),Último peso (kg),Último pesaje,Ganancia periodo (kg/dia),Proyección periodo (kg),Ganancia acumulada (kg/dia),Proyección acumulada (kg)
14534412,feedlot,Novillo,,98.6,411,"""2019-12-12T00:00:00.000Z""",0.65,1927,1.19,3173
14534368,feedlot,Novillo,,98.6,400,"""2019-12-12T00:00:00.000Z""",0.85,2362,1.12,2992
14534468,feedlot,Novillo,,98.6,438,"""2019-12-12T00:00:00.000Z""",1.02,2802,1.38,3627
14534392,feedlot,Novillo,,98.6,448,"""2019-12-12T00:00:00.000Z""",1.19,3213,1.72,4438
14534447,feedlot,Novillo,,98.6,408,"""2019-12-12T00:00:00.000Z""",0.79,2236,1.26,3324
14534398,feedlot,Novillo,,98.6,430,"""2019-12-12T00:00:00.000Z""",0.88,2481,1.31,3465
14534352,feedlot,Novillo,,98.6,419,"""2019-12-12T00:00:00.000Z""",0.27,1043,1.16,3113
14534341,feedlot,Novillo,,98.6,441,"""2019-12-12T00:00:00.000Z""",0.87,2448,1.4,3698
14534421,feedlot,Novillo,,98.6,431,"""2019-12-12T00:00:00.000Z""",0.98,2705,1.31,3466
14534445,feedlot,Novillo,,98.6,410,"""2019-12-12T00:00:00.000Z""",0.73,2105,1.3,3428
14534385,feedlot,Novillo,,98.6,439,"""2019-12-12T00:00:00.000Z""",1.21,3249,1.48,3866
14534424,feedlot,Novillo,,98.6,431,"""2019-12-12T00:00:00.000Z""",0.79,2259,1.32,3483
14534478,feedlot,Novillo,,98.6,403,"""2019-12-12T00:00:00.000Z""",0.65,1919,1.07,2893
14534462,feedlot,Novillo,,98.6,448,"""2019-12-12T00:00:00.000Z""",1.08,2945,1.54,4029
14534449,feedlot,Novillo,,98.6,457,"""2019-12-12T00:00:00.000Z""",1,2776,1.66,4311
14534442,feedlot,Novillo,,98.6,452,"""2019-12-12T00:00:00.000Z""",1.12,3039,1.44,3794
14534411,feedlot,Novillo,,98.6,409,"""2019-12-12T00:00:00.000Z""",0.65,1925,1.32,3478
14534366,feedlot,Novillo,,98.6,418,"""2019-12-12T00:00:00.000Z""",0.75,2157,1.31,3453
14534472,feedlot,Novillo,,98.6,414,"""2019-12-12T00:00:00.000Z""",0.02,459,1.21,3210
14534461,feedlot,Novillo,,98.6,400,"""2019-12-12T00:00:00.000Z""",0.79,2228,1.1,2958
14534409,feedlot,Novillo,,98.6,400,"""2019-12-12T00:00:00.000Z""",0.88,2451,1.27,3350
14534405,feedlot,Novillo,,98.6,405,"""2019-12-12T00:00:00.000Z""",0.46,1475,1.38,3611
14534360,feedlot,Novillo,,98.6,367,"""2019-12-12T00:00:00.000Z""",0.75,2106,1.01,2720
14534399,feedlot,Novillo,,98.6,384,"""2019-12-12T00:00:00.000Z""",0.35,1187,1.07,2874
14534382,feedlot,Novillo,,98.6,427,"""2019-12-12T00:00:00.000Z""",0.96,2657,1.41,3701
14534396,feedlot,Novillo,,98.6,411,"""2019-12-12T00:00:00.000Z""",0.63,1883,1.24,3293
14534370,feedlot,Novillo,,98.6,417,"""2019-12-12T00:00:00.000Z""",0.54,1666,1.21,3213
14534429,feedlot,Novillo,,98.6,426,"""2019-12-12T00:00:00.000Z""",0.85,2388,1.41,3700
14534481,feedlot,Novillo,,98.6,418,"""2019-12-12T00:00:00.000Z""",0.44,1444,1.23,3266
14534365,feedlot,Novillo,,98.6,437,"""2019-12-12T00:00:00.000Z""",0.69,2042,1.39,3660
14534436,feedlot,Novillo,,98.6,451,"""2019-12-12T00:00:00.000Z""",0.88,2502,1.43,3776
14534458,feedlot,Novillo,,98.6,385,"""2019-12-12T00:00:00.000Z""",0.81,2258,1.15,3045
14534464,feedlot,Novillo,,98.6,442,"""2019-12-12T00:00:00.000Z""",0.96,2672,1.43,3750
14534357,feedlot,Novillo,,98.6,416,"""2019-12-12T00:00:00.000Z""",0.6,1798,1.35,3536
14534347,feedlot,Novillo,,98.6,419,"""2019-12-12T00:00:00.000Z""",0.71,2069,1.39,3642
14534471,feedlot,Novillo,,98.6,423,"""2019-12-12T00:00:00.000Z""",0.27,1047,1.26,3339
14534439,feedlot,Novillo,,98.6,440,"""2019-12-12T00:00:00.000Z""",0.69,2045,1.5,3919
