ID,Origen,Destino,N° Guía,Animales,Tipo ganado,Observaciones,Estado,Fecha traslado,Creado por,Fecha creado
17619,San Pedro,feedlot,,22,"Vaca: 19
Vaquilla: 3",,Completo,"""2026-04-16T00:00:00.000Z""",Hernan Silva,"""2026-04-16T00:00:00.000Z"""
17616,San Pedro,Recría Feedlot ,,14,"Ternera: 6
Ternero: 8",,Completo,"""2026-04-15T00:00:00.000Z""",Hernan Silva,"""2026-04-15T00:00:00.000Z"""
17608,Recría FT,Medieria FT,,120,Novillo: 120,,Completo,"""2026-04-14T00:00:00.000Z""",Hernan Silva,"""2026-04-14T00:00:00.000Z"""
17606,San Pedro,feedlot,,18,Vaca: 18,18 vaquillas secas de San Pedro a engorda Feedlot ,Completo,"""2026-04-14T00:00:00.000Z""",Hernan Silva,"""2026-04-14T00:00:00.000Z"""
17601,San Pedro,Recría Feedlot ,,256,"Novillo: 1
Ternera: 118
Ternero: 137",,Completo,"""2026-04-13T00:00:00.000Z""",Hernan Silva,"""2026-04-13T00:00:00.000Z"""
17541,San Pedro,Recría Feedlot ,,267,"Ternera: 121
Ternero: 146",,Completo,"""2026-03-30T00:00:00.000Z""",Hernan Silva,"""2026-03-30T00:00:00.000Z"""
17518,Recría FT,Recría Feedlot ,,69,Novillo: 69,,Completo,"""2026-03-25T00:00:00.000Z""",Hernan Silva,"""2026-03-25T00:00:00.000Z"""
17513,San Pedro,feedlot,,1,Vaquilla: 1,,Completo,"""2026-03-24T00:00:00.000Z""",Hernan Silva,"""2026-03-24T00:00:00.000Z"""
17510,San Pedro,Recría Feedlot ,,370,"Ternera: 170
Ternero: 200",,Completo,"""2026-03-23T00:00:00.000Z""",Hernan Silva,"""2026-03-23T00:00:00.000Z"""
17505,Recría FT,Medieria FT,,77,Novillo: 77,,Completo,"""2026-03-20T00:00:00.000Z""",Hernan Silva,"""2026-03-20T00:00:00.000Z"""
17504,Recría Feedlot ,Arriendo Santa Isabel ,,106,Vaquilla: 106,,Completo,"""2026-03-20T00:00:00.000Z""",Hernan Silva,"""2026-03-20T00:00:00.000Z"""
17495,Recría FT,Medieria FT,,13,Novillo: 13,,Completo,"""2026-03-18T00:00:00.000Z""",Hernan Silva,"""2026-03-18T00:00:00.000Z"""
17492,San Pedro,Recría Feedlot ,,142,"Ternera: 72
Ternero: 70",,Completo,"""2026-03-17T00:00:00.000Z""",Hernan Silva,"""2026-03-17T00:00:00.000Z"""
17480,Recría Feedlot ,feedlot,,40,Vaquilla: 40,,Completo,"""2026-03-16T00:00:00.000Z""",Hernan Silva,"""2026-03-16T00:00:00.000Z"""
17364,San Pedro,feedlot,,1,Vaca: 1,,Completo,"""2026-02-16T00:00:00.000Z""",guentrepan,"""2026-02-16T00:00:00.000Z"""
17305,Recría FT,Medieria FT,,140,Novillo: 140,140 novillos de recría FT a Temuco Ft,Completo,"""2026-01-22T00:00:00.000Z""",guentrepan,"""2026-01-22T00:00:00.000Z"""
17295,Aguas Buenas ,Recría Feedlot ,,146,Vaquilla: 146,146 vaquillas de aguas buenas destino Feedlot ,Completo,"""2026-01-16T00:00:00.000Z""",guentrepan,"""2026-01-16T00:00:00.000Z"""
17292,Arriendo Santa Isabel ,Aguas Buenas ,,146,Vaquilla: 146,traslado vaquillas vacias 146 ,Completo,"""2026-01-15T00:00:00.000Z""",Diego,"""2026-01-15T00:00:00.000Z"""
17240,San Pedro,feedlot,,1,Novillo: 1,,Completo,"""2025-12-30T00:00:00.000Z""",guentrepan,"""2025-12-30T00:00:00.000Z"""
17239,feedlot,Aguas Buenas ,,0,,,En Proceso,"""2025-12-30T00:00:00.000Z""",guentrepan,"""2025-12-30T00:00:00.000Z"""
17195,Arriendo Santa Isabel ,feedlot,,2,Vaquilla: 2,"traslado de 2 vaquillas que no se genero físicamente, solo por el programa",Completo,"""2025-12-16T00:00:00.000Z""",Diego,"""2025-12-16T00:00:00.000Z"""
17192,Arriendo Santa Isabel ,feedlot,,32,Vaquilla: 32,32 vaquillas de Santa Isabel destino Feedlot ,Completo,"""2025-12-13T00:00:00.000Z""",guentrepan,"""2025-12-13T00:00:00.000Z"""
17178,Arriendo las quebradas ,feedlot,,10,Novillo: 10,10 novillos de arriendo las quebradas con destino Feedlot ,Completo,"""2025-12-05T00:00:00.000Z""",guentrepan,"""2025-12-05T00:00:00.000Z"""
17167,Arriendo Santa Isabel ,feedlot,,110,"Vaca: 1
Vaquilla: 109",110 vaquillas de Santa Isabel con destino Feedlot ,Completo,"""2025-12-02T00:00:00.000Z""",guentrepan,"""2025-12-02T00:00:00.000Z"""
17158,Arriendo las quebradas ,feedlot,,116,"Novillo: 104
Vaquilla: 12",traslado de 116 terneros al feedlot desde Regina,Completo,"""2025-11-27T00:00:00.000Z""",Diego,"""2025-11-27T00:00:00.000Z"""
17157,Aguas Buenas ,feedlot,,1,Vaquilla: 1,,Completo,"""2025-11-26T00:00:00.000Z""",guentrepan,"""2025-11-26T00:00:00.000Z"""
17156,Aguas Buenas ,feedlot,,2,"Vaca: 1
Vaquilla: 1",,Completo,"""2025-11-26T00:00:00.000Z""",guentrepan,"""2025-11-26T00:00:00.000Z"""
17132,San Pedro,Aguas Buenas ,,2,Vaca: 2,2 vaquillas de San Pedro a Feedlot ,Completo,"""2025-11-18T00:00:00.000Z""",guentrepan,"""2025-11-18T00:00:00.000Z"""
17131,Recría Feedlot ,Aguas Buenas ,,3,"Novillo: 1
Vaquilla: 2",2 vaquillas más 1 ternero de recria a Feedlot,Completo,"""2025-11-18T00:00:00.000Z""",guentrepan,"""2025-11-18T00:00:00.000Z"""
17031,feedlot,Recría Feedlot ,,1,Novillo: 1,1 torete de feedlot a recria ,Completo,"""2025-10-16T00:00:00.000Z""",guentrepan,"""2025-10-16T00:00:00.000Z"""
17030,Recría Feedlot ,feedlot,,1,Novillo: 1,1 torete de recria a Feedlot ,Completo,"""2025-10-16T00:00:00.000Z""",guentrepan,"""2025-10-16T00:00:00.000Z"""
16996,Recría Feedlot ,Arriendo Santa Isabel ,,2,Vaquilla: 2,2 vaquillas a sta Isabel ,Completo,"""2025-10-04T00:00:00.000Z""",guentrepan,"""2025-10-06T00:00:00.000Z"""
16994,Recría Feedlot ,feedlot,,77,"Novillo: 75
Vaquilla: 2",77 novillos a Engorda ,Completo,"""2025-10-04T00:00:00.000Z""",guentrepan,"""2025-10-04T00:00:00.000Z"""
16993,Recría Feedlot ,Arriendo las quebradas ,,4,Novillo: 4,4 machos a las quebradas ,Completo,"""2025-10-04T00:00:00.000Z""",guentrepan,"""2025-10-04T00:00:00.000Z"""
16992,Recría Feedlot ,Arriendo Santa Isabel ,,76,Vaquilla: 76,76 Hembras a Santa Isabel ,Completo,"""2025-10-03T00:00:00.000Z""",guentrepan,"""2025-10-03T00:00:00.000Z"""
16990,feedlot,Aguas Buenas ,,1,Vaquilla: 1,,Completo,"""2025-10-03T00:00:00.000Z""",guentrepan,"""2025-10-03T00:00:00.000Z"""
16989,Recría Feedlot ,Arriendo Santa Isabel ,,191,"Vaca: 1
Vaquilla: 190",191 vaquillas a Santa Isabel ,Completo,"""2025-10-03T00:00:00.000Z""",guentrepan,"""2025-10-03T00:00:00.000Z"""
16988,Recría Feedlot ,Arriendo Santa Isabel ,,157,"Vaca: 1
Vaquilla: 156",157 vaquillas a sta Isabel ,Completo,"""2025-10-03T00:00:00.000Z""",guentrepan,"""2025-10-03T00:00:00.000Z"""
16987,Recría Feedlot ,Arriendo las quebradas ,,123,"Novillo: 111
Vaquilla: 12",machos,Completo,"""2025-10-03T00:00:00.000Z""",guentrepan,"""2025-10-03T00:00:00.000Z"""
