ID,Fundo,N° Guía,Animales,Tipo ganado,Peso (kg),Animales pesados,Observaciones,Estado,Fecha venta,Creado por,Fecha creado
7990,feedlot,,45,"Novillo: 28
Vaquilla: 17",23542,45,,Completo,"""2026-04-14T00:00:00.000Z""",Hernan Silva,"""2026-04-14T00:00:00.000Z"""
7984,San Pedro,,41,Vaca: 41,24012,41,,Completo,"""2026-04-13T00:00:00.000Z""",Hernan Silva,"""2026-04-13T00:00:00.000Z"""
7966,Mollendo ,,45,Novillo: 45,23466,45,,Completo,"""2026-04-07T00:00:00.000Z""",Hernan Silva,"""2026-04-07T00:00:00.000Z"""
7965,Medieria FT,,45,Novillo: 45,24634,45,,Completo,"""2026-04-07T00:00:00.000Z""",Hernan Silva,"""2026-04-07T00:00:00.000Z"""
7962,Mollendo ,,45,Novillo: 45,23754,45,,Completo,"""2026-04-06T00:00:00.000Z""",Hernan Silva,"""2026-04-06T00:00:00.000Z"""
7961,Medieria FT,,45,Novillo: 45,23356,45,,Completo,"""2026-04-06T00:00:00.000Z""",Hernan Silva,"""2026-04-06T00:00:00.000Z"""
7950,Mollendo ,,45,Novillo: 45,24702,45,,Completo,"""2026-04-01T00:00:00.000Z""",Hernan Silva,"""2026-04-01T00:00:00.000Z"""
7942,Medieria FT,,45,Novillo: 45,23678,45,,Completo,"""2026-03-31T00:00:00.000Z""",Hernan Silva,"""2026-03-31T00:00:00.000Z"""
7932,feedlot,,45,"Novillo: 29
Vaquilla: 16",23631,45,,Completo,"""2026-03-30T00:00:00.000Z""",Hernan Silva,"""2026-03-30T00:00:00.000Z"""
7912,feedlot,,45,"Novillo: 26
Vaquilla: 19",24048,45,,Completo,"""2026-03-24T00:00:00.000Z""",Hernan Silva,"""2026-03-24T00:00:00.000Z"""
7884,Mollendo ,,45,Novillo: 45,24104,45,,Completo,"""2026-03-18T00:00:00.000Z""",Hernan Silva,"""2026-03-18T00:00:00.000Z"""
7881,Mollendo ,,45,Novillo: 45,24379,45,,Completo,"""2026-03-17T00:00:00.000Z""",Hernan Silva,"""2026-03-17T00:00:00.000Z"""
7871,Mollendo ,,45,"Novillo: 44
Vaquilla: 1",24237,45,,Completo,"""2026-03-16T00:00:00.000Z""",Hernan Silva,"""2026-03-16T00:00:00.000Z"""
7869,Medieria FT,,45,Novillo: 45,23404,45,,Completo,"""2026-03-16T00:00:00.000Z""",Hernan Silva,"""2026-03-16T00:00:00.000Z"""
7858,Mollendo ,,45,Novillo: 45,22932,45,Venta a Frigorifico Temuco,Completo,"""2026-03-11T00:00:00.000Z""",Diego,"""2026-03-11T00:00:00.000Z"""
7853,Medieria FT,,45,Novillo: 45,23072,45,,Completo,"""2026-03-07T00:00:00.000Z""",Hernan Silva,"""2026-03-07T00:00:00.000Z"""
7848,Mollendo ,,45,"Novillo: 44
Vaquilla: 1",24738,45,,Completo,"""2026-03-04T00:00:00.000Z""",Hernan Silva,"""2026-03-04T00:00:00.000Z"""
7844,Medieria FT,,45,Novillo: 45,23766,45,,Completo,"""2026-03-03T00:00:00.000Z""",Hernan Silva,"""2026-03-03T00:00:00.000Z"""
7839,Medieria FT,,45,Novillo: 45,23155,45,,Completo,"""2026-03-02T00:00:00.000Z""",Hernan Silva,"""2026-03-02T00:00:00.000Z"""
7836,Medieria FT,,45,Novillo: 45,25927,45,,Completo,"""2026-03-01T00:00:00.000Z""",Hernan Silva,"""2026-03-01T00:00:00.000Z"""
