row_num,fundo_u_origen,obs_raw_flat,rx_diio,rx_rut,rx_pesos_kg,rx_pesos_pv,rx_guia,rx_precio_dollar,rx_precio_texto,rx_precio_kg,rx_precio_unitario,rx_cantidad_animal,rx_fecha_dd_mm_yyyy,rx_fecha_texto,rx_patente_auto,rx_camion_prefix,rx_carro_prefix,rx_kw_compra,rx_kw_venta,rx_kw_traslado,rx_kw_tratamiento,rx_nombre_propio,rx_url,rx_porcentaje,obs_lines_joined
5,San Pedro,18 vaquillas secas de San Pedro a engorda Feedlot,,,,,,,,,,18 vaquillas,,,,,,,,,,San Pedro,,,18 vaquillas secas de San Pedro a engorda Feedlot
17,Recría FT,140 novillos de recría FT a Temuco Ft,,,,,,,,,,140 novillos,,,,,,,,,,,,,140 novillos de recría FT a Temuco Ft
18,Aguas Buenas,146 vaquillas de aguas buenas destino Feedlot,,,,,,,,,,146 vaquillas,,,,,,,,,,,,,146 vaquillas de aguas buenas destino Feedlot
19,Arriendo Santa Isabel,traslado vaquillas vacias 146,,,,,,,,,,,,,,,,,,traslado,,,,,traslado vaquillas vacias 146
22,Arriendo Santa Isabel,"traslado de 2 vaquillas que no se genero físicamente, solo por el programa",,,,,,,,,,2 vaquillas,,,,,,,,traslado,,,,,"traslado de 2 vaquillas que no se genero físicamente, solo por el programa"
23,Arriendo Santa Isabel,32 vaquillas de Santa Isabel destino Feedlot,,,,,,,,,,32 vaquillas,,,,,,,,,,Santa Isabel,,,32 vaquillas de Santa Isabel destino Feedlot
24,Arriendo las quebradas,10 novillos de arriendo las quebradas con destino Feedlot,,,,,,,,,,10 novillos,,,,,,,,,,,,,10 novillos de arriendo las quebradas con destino Feedlot
25,Arriendo Santa Isabel,110 vaquillas de Santa Isabel con destino Feedlot,,,,,,,,,,110 vaquillas,,,,,,,,,,Santa Isabel,,,110 vaquillas de Santa Isabel con destino Feedlot
26,Arriendo las quebradas,traslado de 116 terneros al feedlot desde Regina,,,,,,,,,,116 terneros,,,,,,,,traslado,,,,,traslado de 116 terneros al feedlot desde Regina
29,San Pedro,2 vaquillas de San Pedro a Feedlot,,,,,,,,,,2 vaquillas,,,,,,,,,,San Pedro,,,2 vaquillas de San Pedro a Feedlot
30,Recría Feedlot,2 vaquillas más 1 ternero de recria a Feedlot,,,,,,,,,,2 vaquillas | 1 ternero,,,,,,,,,,,,,2 vaquillas más 1 ternero de recria a Feedlot
31,feedlot,1 torete de feedlot a recria,,,,,,,,,,,,,,,,,,,,,,,1 torete de feedlot a recria
32,Recría Feedlot,1 torete de recria a Feedlot,,,,,,,,,,,,,,,,,,,,,,,1 torete de recria a Feedlot
33,Recría Feedlot,2 vaquillas a sta Isabel,,,,,,,,,,2 vaquillas,,,,,,,,,,,,,2 vaquillas a sta Isabel
34,Recría Feedlot,77 novillos a Engorda,,,,,,,,,,77 novillos,,,,,,,,,,,,,77 novillos a Engorda
35,Recría Feedlot,4 machos a las quebradas,,,,,,,,,,,,,,,,,,,,,,,4 machos a las quebradas
36,Recría Feedlot,76 Hembras a Santa Isabel,,,,,,,,,,,,,,,,,,,,Santa Isabel,,,76 Hembras a Santa Isabel
38,Recría Feedlot,191 vaquillas a Santa Isabel,,,,,,,,,,191 vaquillas,,,,,,,,,,Santa Isabel,,,191 vaquillas a Santa Isabel
39,Recría Feedlot,157 vaquillas a sta Isabel,,,,,,,,,,157 vaquillas,,,,,,,,,,,,,157 vaquillas a sta Isabel
40,Recría Feedlot,machos,,,,,,,,,,,,,,,,,,,,,,,machos
41,Recría Feedlot,82 novillos de recria a feedlot,,,,,,,,,,82 novillos,,,,,,,,,,,,,82 novillos de recria a feedlot
45,Recría Feedlot,100 vaquillas a Engorda,,,,,,,,,,100 vaquillas,,,,,,,,,,,,,100 vaquillas a Engorda
46,San Pedro,vaquillas flaca,,,,,,,,,,,,,,,,,,,,,,,vaquillas flaca
47,San Pedro,4 vaquillas de San Pedro a feedlot,,,,,,,,,,4 vaquillas,,,,,,,,,,San Pedro,,,4 vaquillas de San Pedro a feedlot
48,Recría Feedlot,94 Hembras a Engorda,,,,,,,,,,,,,,,,,,,,,,,94 Hembras a Engorda
49,feedlot,2 vaquillas secas chicas,,,,,,,,,,2 vaquillas,,,,,,,,,,,,,2 vaquillas secas chicas
50,Recría Feedlot,91 novillos a engorda,,,,,,,,,,91 novillos,,,,,,,,,,,,,91 novillos a engorda
51,Arriendo Santa Isabel,traslado de vaquillas a Feedlot,,,,,,,,,,,,,,,,,,traslado,,,,,traslado de vaquillas a Feedlot
52,Arriendo Santa Isabel,traslado de 286 vaquillas Preñadas + 1 vaquilla Vacia + 1 cría total 288,,,,,,,,,,286 vaquillas | 1 vaquilla,,,,,,,,traslado,,,,,traslado de 286 vaquillas Preñadas + 1 vaquilla Vacia + 1 cría total 288
53,Arriendo las quebradas,traslado Recria a Feedlot,,,,,,,,,,,,,,,,,,traslado,,,,,traslado Recria a Feedlot
54,San Pedro,1 ternero,,,,,,,,,,1 ternero,,,,,,,,,,,,,1 ternero
56,San Pedro,4 terneros charros,,,,,,,,,,4 terneros,,,,,,,,,,,,,4 terneros charros
57,San Pedro,3 vacas vacias 1 ternero,,,,,,,,,,3 vacas | 1 ternero,,,,,,,,,,,,,3 vacas vacias ‖ 1 ternero
58,San Pedro,ternero cambio de diio,,,,,,,,,,,,,,,,,,,,,,,ternero cambio de diio
64,San Pedro,ternero,,,,,,,,,,,,,,,,,,,,,,,ternero
66,San Pedro,150 terneros destete a las quebradas,,,,,,,,,,150 terneros,,,,,,,,,,,,,150 terneros destete a las quebradas
67,San Pedro,traslado 106 terneros de San Pedro a recría feedlot encerrados 1 de marzo 26437205 DIIO no existe desparasitados dectomax 4cc vacuna Clostribac 2cc,26437205,,,,,,,,,106 terneros,,1 de marzo,,,,,,traslado,,San Pedro,,,traslado 106 terneros de San Pedro a recría  feedlot encerrados 1 de marzo 26437205 DIIO no existe ‖ desparasitados dectomax 4cc ‖ vacuna Clostribac 2cc
68,Arriendo Santa Isabel,traslado 5 toretes,,,,,,,,,,,,,,,,,,traslado,,,,,traslado 5 toretes
69,Arriendo Santa Isabel,traslado 51 vaquillas vacias desde sta isabel a feedlot...,,,,,,,,,,51 vaquillas,,,,,,,,traslado,,,,,traslado 51 vaquillas vacias desde sta isabel a feedlot...
70,San Pedro,traslado 54 terneros destetado desde san pedro a las quebradas,,,,,,,,,,54 terneros,,,,,,,,traslado,,,,,traslado  54 terneros destetado desde san pedro a las quebradas
71,Arriendo Santa Isabel,traslado 55 vaquillas vacias desde sta isabel a feedlot,,,,,,,,,,55 vaquillas,,,,,,,,traslado,,,,,traslado 55 vaquillas vacias desde sta isabel a feedlot
72,San Pedro,traslado 75 terneros a las quebradas,,,,,,,,,,75 terneros,,,,,,,,traslado,,,,,traslado 75 terneros  a las quebradas
73,Arriendo las quebradas,58 novillos de arriendo las quebradas con destino Feedlot,,,,,,,,,,58 novillos,,,,,,,,,,,,,58 novillos de arriendo las quebradas con destino Feedlot
