row_num,fundo_u_origen,obs_raw_flat,rx_diio,rx_rut,rx_pesos_kg,rx_pesos_pv,rx_guia,rx_precio_dollar,rx_precio_texto,rx_precio_kg,rx_precio_unitario,rx_cantidad_animal,rx_fecha_dd_mm_yyyy,rx_fecha_texto,rx_patente_auto,rx_camion_prefix,rx_carro_prefix,rx_kw_compra,rx_kw_venta,rx_kw_traslado,rx_kw_tratamiento,rx_nombre_propio,rx_url,rx_porcentaje,obs_lines_joined
2,Medieria FT,35cc Tilosina,,,,,,,,,,,,,,,,,,,,,,,35cc Tilosina
10,Medieria FT,5cc ADE,,,,,,,,,,,,,,,,,,,,,,,5cc ADE
14,Medieria FT,5cc de ADE,,,,,,,,,,,,,,,,,,,,,,,5cc de ADE
16,Medieria FT,1 sobre bilifar,,,,,,,,,,,,,,,,,,,,,,,1 sobre bilifar
717,Medieria FT,Azobetril,,,,,,,,,,,,,,,,,,,,,,,Azobetril
723,Mollendo,Triple / A-D-E / 40cc magnekal,,,,,,,,,,,,,,,,,,,,,,,Triple / A-D-E / 40cc magnekal
1208,Medieria FT,LA en los ojos,,,,,,,,,,,,,,,,,,,,,,,LA en los ojos
1216,Medieria FT,Hemodrag,,,,,,,,,,,,,,,,,,,,,,,Hemodrag
1220,Medieria FT,febrectal 15cc,,,,,,,,,,,,,,,,,,,,,,,febrectal 15cc
1223,Medieria FT,15cc febrectal,,,,,,,,,,,,,,,,,,,,,,,15cc febrectal
1224,Medieria FT,8cc febrectal - 180 Teril,,,,,,,,,,,,,,,,,,,,,,,8cc febrectal - 180 Teril
1254,feedlot,120cc Azovetril,,,,,,,,,,,,,,,,,,,,,,,120cc Azovetril
1267,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1268,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1269,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1270,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1271,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1272,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1273,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1274,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1275,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1276,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1277,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1278,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1279,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1280,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1281,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1282,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1283,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1284,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1285,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1286,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1287,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1288,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1289,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1290,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1291,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1292,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1293,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1294,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1295,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1296,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1297,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1298,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1299,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1300,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1301,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1302,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1303,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1304,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
