row_num,fundo_u_origen,obs_raw_flat,rx_diio,rx_rut,rx_pesos_kg,rx_pesos_pv,rx_guia,rx_precio_dollar,rx_precio_texto,rx_precio_kg,rx_precio_unitario,rx_cantidad_animal,rx_fecha_dd_mm_yyyy,rx_fecha_texto,rx_patente_auto,rx_camion_prefix,rx_carro_prefix,rx_kw_compra,rx_kw_venta,rx_kw_traslado,rx_kw_tratamiento,rx_nombre_propio,rx_url,rx_porcentaje,obs_lines_joined
2,Recría Feedlot,Neumonia,,,,,,,,,,,,,,,,,,,,,,,Neumonia
3,Medieria FT,neumonía cronica,,,,,,,,,,,,,,,,,,,,,,,neumonía cronica
4,Medieria FT,neumonía cronica,,,,,,,,,,,,,,,,,,,,,,,neumonía cronica
5,Medieria FT,Abomasitis,,,,,,,,,,,,,,,,,,,,,,,Abomasitis
6,Medieria FT,Úlcera de abomaso,,,,,,,,,,,,,,,,,,,,,,,Úlcera de abomaso
7,Medieria FT,Flaco (neumonia crónica),,,,,,,,,,,,,,,,,,,,,,,Flaco (neumonia crónica)
8,Medieria FT,flaco,,,,,,,,,,,,,,,,,,,,,,,flaco
9,feedlot,Ptbc,,,,,,,,,,,,,,,,,,,,,,,Ptbc
10,Medieria FT,Pansaso,,,,,,,,,,,,,,,,,,,,,,,Pansaso
11,feedlot,Ptbc,,,,,,,,,,,,,,,,,,,,,,,Ptbc
12,Mollendo,Impactación Ruminal,,,,,,,,,,,,,,,,,,,,Impactación Ruminal,,,Impactación Ruminal
13,Recría FT,flaco,,,,,,,,,,,,,,,,,,,,,,,flaco
14,San Pedro,Enterrada monte,,,,,,,,,,,,,,,,,,,,,,,Enterrada monte
15,San Pedro,no responde tratamiento,,,,,,,,,,,,,,,,,,,tratamiento,,,,no responde tratamiento
16,San Pedro,perros,,,,,,,,,,,,,,,,,,,,,,,perros
17,San Pedro,perros,,,,,,,,,,,,,,,,,,,,,,,perros
18,San Pedro,Baja condición corporal,,,,,,,,,,,,,,,,,,,,,,,Baja condición corporal
19,San Pedro,no responde tratamiento,,,,,,,,,,,,,,,,,,,tratamiento,,,,no responde tratamiento
20,San Pedro,Perros,,,,,,,,,,,,,,,,,,,,,,,Perros
21,San Pedro,muerte súbita,,,,,,,,,,,,,,,,,,,,,,,muerte súbita
22,San Pedro,Enterrada monte,,,,,,,,,,,,,,,,,,,,,,,Enterrada monte
23,San Pedro,Enteritis Hemorrágica y Abomasitis,,,,,,,,,,,,,,,,,,,,Enteritis Hemorrágica,,,Enteritis Hemorrágica y Abomasitis
24,San Pedro,Flaco (neumonia crónica),,,,,,,,,,,,,,,,,,,,,,,Flaco (neumonia crónica)
25,Medieria FT,flaco,,,,,,,,,,,,,,,,,,,,,,,flaco
26,Medieria FT,Impactación Ruminal,,,,,,,,,,,,,,,,,,,,Impactación Ruminal,,,Impactación Ruminal
27,Recría FT,neumonía cronica,,,,,,,,,,,,,,,,,,,,,,,neumonía cronica
28,Medieria FT,ciego flaco,,,,,,,,,,,,,,,,,,,,,,,ciego flaco
29,Recría FT,Neumonia,,,,,,,,,,,,,,,,,,,,,,,Neumonia
30,San Pedro,Peritonitis,,,,,,,,,,,,,,,,,,,,,,,Peritonitis
31,San Pedro,Flaca PTBc,,,,,,,,,,,,,,,,,,,,,,,Flaca PTBc
32,Recría FT,cae cuneta,,,,,,,,,,,,,,,,,,,,,,,cae cuneta
33,Recría FT,panzaso,,,,,,,,,,,,,,,,,,,,,,,panzaso
34,Medieria FT,no responde tratamiento,,,,,,,,,,,,,,,,,,,tratamiento,,,,no responde tratamiento
35,San Pedro,muerte súbita,,,,,,,,,,,,,,,,,,,,,,,muerte súbita
36,San Pedro,no responde a tratamiento,,,,,,,,,,,,,,,,,,,tratamiento,,,,no responde a tratamiento
37,San Pedro,no responde a tratamiento,,,,,,,,,,,,,,,,,,,tratamiento,,,,no responde a tratamiento
38,San Pedro,Cae quebrada,,,,,,,,,,,,,,,,,,,,,,,Cae quebrada
39,San Pedro,Cae quebrada,,,,,,,,,,,,,,,,,,,,,,,Cae quebrada
40,San Pedro,Mala calidad o ingesta,,,,,,,,,,,,,,,,,,,,,,,Mala calidad o ingesta
41,San Pedro,empacho,,,,,,,,,,,,,,,,,,,,,,,empacho
42,San Pedro,Mala calidad o ingesta,,,,,,,,,,,,,,,,,,,,,,,Mala calidad o ingesta
43,San Pedro,no responde a tratamiento,,,,,,,,,,,,,,,,,,,tratamiento,,,,no responde a tratamiento
